Loka maģistrāle	cadaster
Salu loks	cadaster
Bīskapa gāte	cadaster
Pils Rajons	cadaster
Austrumu mols	cadaster
Rietumu mols	cadaster
Pasta sala	cadaster
Skuju skvērs	cadaster
Garā Jūdze	cadaster
Jaunā ostmala	cadaster
Poļu gāte	cadaster
Kvēpenes takas	tourism
Kalētu mežaparka takas	tourism
Дорога для пограничников	oob
Viršu iela 8 - Malienas iela 9	cadaster
Apbraucamais ceļš Nr. 1	cadaster
Apbraucamais ceļš Nr. 2	cadaster
Apbraucamais ceļš Nr. 3	cadaster
Purva skvērs	cadaster
Mazā Vējzaķsala	cadaster
Daugavpils cietokšņa promenāde	tourism